pl_name,hostname,pl_orbsmax,pl_rade,pl_orbeccen,pl_orbincl,pl_orblper,st_rad,hb,Temp,st_mass,Count Rate
55 Cnc e,55 Cnc,0.01544,1.875,0.05,83.59,86,0.94,0.06337892907,2901241.731,0.91,0.09663239898
AU Mic c,AU Mic,0.1101,3.015,0.065,89.15,-20,0.75,0.1067597805,5802483.463,0.5,223.6846919
AU Mic b,AU Mic,0.0645,4.1,0.186,89.5,88.528,0.75,0.1067597805,5802483.463,0.5,223.6846919
DS Tuc A b,DS Tuc A,0.09122,5.7,0,89.5,90,0.96,0.11905079,11287571.08,1.01,45.8201
G 9-40 b,G 9-40,0.0385,2.025,0,88.57,0,0.31,0.06472983477,2901241.731,0.29,0.184872788
GJ 1132 b,GJ 1132,0.0153,1.13,0.22,86.58,90,0.21,0.06822424598,2901241.731,0.18,0.02557916444
GJ 1214 b,GJ 1214,0.0149,2.742,0.063,88.7,0,0.21,0.06981015695,3017291.401,0.18,0.0138
GJ 143 b,GJ 143,0.1915,2.61,0.188,89.33,98,0.69,0.05993046479,2901241.731,0.73,0.2473117956
HD 21749 c,GJ 143,0.0695,0.892,0.69,88.9,90,0.69,0.05993046479,2901241.731,0.73,0.2473117956
GJ 3090 b,GJ 3090,0.03165,2.13,0.32,87.14,137,0.52,0.06210998838,2901241.731,0.52,0.1828241941
GJ 3470 b,GJ 3470,0.0355,4.57,0.05967,89.13,-40.4,0.55,0.05181995838,2163634.129,0.54,0.1403632645
GJ 3473 b,GJ 3473,0.01589,1.264,0,87.95,90,0.36,0.06210998838,2901241.731,0.36,0.009043588191
GJ 357 b,GJ 357,0.035,1.217,0,89.12,90,0.34,0.06210998838,2901241.731,0.34,0.04593616014
GJ 367 b,GJ 367,0.0071,0.718,0,80.75,90,0.46,0.06296874527,2901241.731,0.45,0.4512370041
GJ 436 b,GJ 436,0.0291,4.17,0.13827,86.44,351,0.46,0.05619836925,2538635.357,0.47,0.1359248657
GJ 486 b,GJ 486,0.01734,1.305,0.05,88.4,90,0.33,0.0547409611,2316289.62,0.32,0.0326806204
GJ 9827 b,GJ 9827,0.0188,1.577,0,86.07,90,0.6,0.06146730664,2901241.731,0.61,0.04179073896
GJ 9827 c,GJ 9827,0.03925,1.241,0,88.19,90,0.6,0.06146730664,2901241.731,0.61,0.04179073896
GJ 9827 d,GJ 9827,0.05591,2.022,0,87.443,90,0.6,0.06146730664,2901241.731,0.61,0.04179073896
GPX-1 b,GPX-1,0.0338,16.477,0,79.9,90,1.56,0.08742241039,5802483.463,1.68,0.02199480723
HAT-P-11 b,HAT-P-11,0.05254,4.36,0.218,89.5,19,0.68,0.06539695243,3756888.251,0.81,0.1641936124
HAT-P-17 b,HAT-P-17,0.0882,11.769,0.35,89.2,200,0.87,0.05716363795,2901241.731,0.99,0.1388364493
HAT-P-2 b,HAT-P-2,0.06814,12.379,0.5172,87,188.01,1.39,0.06383870393,2901241.731,1.33,0.179204821
HAT-P-20 b,HAT-P-20,0.0361,9.718,0.015,86.8,317,0.69,0.0583936311,2901241.731,0.76,0.06879854112
HAT-P-22 b,HAT-P-22,0.0414,12.89,0.02,86.9,136,1.11,0.06141577974,2901241.731,1.13,0.1456746711
HATS-55 b,HATS-55,0.05412,14.022,0.092,86.32,90,1.13,0.08800429803,5802483.463,1.2,0.02280335087
HATS-58 A b,HATS-58 A,0.05798,12.274,0.168,85.69,90,1.43,0.08963638504,5802483.463,1.46,0.1258781866
HATS-67 b,HATS-67,0.03032,18.887,0.057,79.03,90,1.44,0.09049581329,5802483.463,1.44,0.01242078621
HD 108236 d,HD 108236,0.1074,2.539,0.055,89.06,151,0.88,0.0625559412,2901241.731,0.87,0.03162354522
HD 108236 e,HD 108236,0.1367,3.083,0.058,89.245,128,0.88,0.0625559412,2901241.731,0.87,0.03162354522
HD 108236 b,HD 108236,0.04527,1.615,0.045,87.59,126,0.88,0.0625559412,2901241.731,0.87,0.03162354522
HD 108236 c,HD 108236,0.062,2.071,0.034,88.3,211,0.88,0.0625559412,2901241.731,0.87,0.03162354522
HD 108236 f,HD 108236,0.1758,2.017,0.051,88.963,275,0.88,0.0625559412,2901241.731,0.87,0.03162354522
HD 109833 c,HD 109833,0.1547,2.59,0.3,88.24,21.42,1.002,0.08730381053,5802483.463,1.08,1.815279134
HD 109833 b,HD 109833,0.09244,2.888,0.18,88.13,2.71,0.9989,0.08730381053,5802483.463,1.08,1.815279134
HD 110082 b,HD 110082,0.113,3.2,0.2,88.2,138,1.19,0.08980600488,5802483.463,1.21,0.5900245726
HD 114082 b,HD 114082,0.5109,11.209,0.395,90,211.7,1.49,0.09105439241,5802483.463,1.47,14.78144662
HD 118203 b,HD 118203,0.07,1.133,0.316,88.75,153.6,2.06,0.06657001161,2901241.731,1.84,0.1009605904
HD 136352 c,HD 136352,0.1721,2.916,0,88.571,90,1.06,0.06997896548,2901241.731,0.87,0.05671372397
HD 136352 d,HD 136352,0.425,2.562,0,89.73,90,1.06,0.06997896548,2901241.731,0.87,0.05671372397
HD 136352 b,HD 136352,0.0964,1.664,0,88.49,90,1.06,0.06997896548,2901241.731,0.87,0.05671372397
HD 1397 b,HD 1397,0.1097,11.5,0.251,88.99,2.1,2.34,0.08548688339,2901241.731,1.32,0.1805305142
HD 149026 b,HD 149026,0.0432,8.295,0,84.55,90,1.41,0.0758180459,4104854.1,1.42,0.03975680353
HD 15337 c,HD 15337,0.1268,2.39,0.05,88.5,329,0.86,0.06034908606,2901241.731,0.9,0.02928126383
HD 15337 b,HD 15337,0.0522,1.64,0.09,88.5,62,0.86,0.06034908606,2901241.731,0.9,0.02928126383
HD 17156 b,HD 17156,0.16,12.33,0.68,87.82,121.4,1.55,0.06584071935,2901241.731,1.41,0.1007083364
HD 183579 b,HD 183579,0.1334,3.55,0.28,89.33,90,0.98,0.0601836805,2901241.731,1.03,0.1733408389
HD 18599 b,HD 18599,0.048,2.6,0.34,87.6,-2.5,0.77,0.05786687313,2901241.731,0.86,0.7493842084
HD 189733 b,HD 189733,0.0312,12.666,0,85.71,82.173,0.75,0.06009918172,2901241.731,0.79,2.15403865
HD 191939 d,HD 191939,0.2132,2.995,0.031,89.49,15,0.94,0.06801057177,2901241.731,0.81,0.0241495635
HD 191939 b,HD 191939,0.0804,3.41,0.031,88.1,5,0.94,0.06801057177,2901241.731,0.81,0.0241495635
HD 191939 c,HD 191939,0.1752,3.195,0.034,89.1,-90,0.94,0.06801057177,2901241.731,0.81,0.0241495635
HD 20329 b,HD 20329,0.018,1.72,0,76.01,90,1.13,0.07120163116,2901241.731,0.9,0.02891860274
